iter	Passed	Remaining
288	31675	77929
289	31963	78254
290	32038	78059
291	32221	78125
292	32321	77990
293	32517	78086
294	32675	78089
295	32854	78140
296	32995	78101
297	33147	78084
298	33282	78029
299	33442	78032
300	33560	77935
301	33697	77882
302	33933	78057
303	33997	77835
304	34062	77618
305	34122	77389
306	34181	77159
307	34241	76932
308	34305	76715
309	34366	76493
310	34432	76283
311	34493	76062
312	34556	75847
313	34618	75632
314	34706	75473
315	34869	75477
316	35029	75472
317	35128	75339
318	35319	75399
319	35460	75353
320	35592	75288
321	35742	75258
322	35867	75176
323	35988	75086
324	36052	74877
325	36228	74902
326	36419	74955
327	36653	75094
328	36776	75006
329	36901	74920
330	37055	74894
331	37229	74908
332	37361	74834
333	37577	74929
334	37751	74940
335	38070	75234
336	38198	75150
337	38330	75072
338	38567	75201
339	38713	75150
340	38862	75103
341	39156	75335
342	39660	75968
343	39782	75864
344	39855	75667
345	39932	75480
346	40026	75323
347	40102	75133
348	40182	74953
349	40257	74764
350	40334	74577
351	40419	74407
352	40538	74301
353	40671	74218
354	40791	74113
355	41047	74254
356	41187	74184
357	41480	74387
358	41621	74316
359	41843	74388
360	42234	74759
361	42388	74707
362	42551	74669
363	42752	74699
364	42894	74625
365	43007	74498
366	43115	74364
367	43310	74381
368	43496	74379
369	43624	74279
370	43761	74194
371	43852	74031
372	43965	73904
373	44116	73841
374	44263	73772
375	44392	73672
376	44510	73553
377	44619	73421
378	44719	73273
379	44866	73202
380	45069	73223
381	45187	73104
382	45493	73287
383	45550	73070
384	45625	72883
385	45689	72676
386	45754	72474
387	45824	72280
388	45899	72094
389	46030	71996
390	46118	71831
391	46226	71698
392	46338	71571
393	46426	71407
394	46534	71274
395	46643	71142
396	46782	71057
397	46865	70887
398	46990	70779
